Query name,Query description,Query SQL
Investigate service limit increases,Find all service limits increased across different regions and accounts within the past week.,"SELECT userIdentity.arn AS user, awsRegion, element_at(serviceEventDetails, 'serviceName') AS ServiceName, element_at(serviceEventDetails, 'quotaName') AS QuotaName, element_at(serviceEventDetails, 'createTime') AS RequestedOn, element_at(serviceEventDetails, 'newQuotaValue') AS NewLimitValue, element_at(serviceEventDetails, 'newStatus') AS Status FROM $EDS_ID WHERE eventSource='servicequotas.amazonaws.com' AND eventName in ('UpdateServiceQuotaIncreaseRequestStatus', 'RequestServiceQuotaIncrease') AND element_at(serviceEventDetails, 'serviceName') != '' AND eventTime > '2024-06-25 00:00:00' ORDER BY eventTime ASC"
Investigate manually created resources,Find all manually created resources within the past week.,"SELECT userIdentity.arn AS user, userIdentity, eventTime, eventSource, eventName, awsRegion, requestParameters, resources, requestID, eventID FROM $EDS_ID WHERE (eventName LIKE '%Create%') AND resources IS NOT NULL AND userIdentity.sessioncontext.sessionissuer.username NOT LIKE 'AWSServiceRole%' AND userIdentity.sessioncontext.sessionissuer.username IS NOT NULL AND sourceIpAddress != 'cloudformation.amazonaws.com' AND eventTime > '2024-06-25 00:00:00' ORDER BY eventTime DESC"
Monitor LakeFormation operations,Find all users who accessed a given database and table within the past week and show whether access was successful as configured in LakeFormation.,"SELECT eventSource, eventName, userIdentity.arn AS user, element_at(requestParameters, 'databaseName') AS DatabaseName, element_at(requestParameters, 'name') AS TableName, json_array_contains(json_parse(element_at(additionalEventData, 'insufficientLakeFormationPermissions')),'<DatabaseName>:<Table Name>') AS FailedAccess, eventTime FROM $EDS_ID WHERE eventSource ='glue.amazonaws.com' AND element_at(requestParameters, 'databaseName') = '<Database Name>' AND element_at(requestParameters, 'name') = '<Table Name>' AND element_at(additionalEventData, 'lakeFormationPrincipal') != '<ARN of Data Lake Admin Role>' AND eventTime > '2024-06-25 00:00:00'"
List Glue databases and tables,Find all Glue databases and tables viewed or modified by a given database administrator within the past week.,"SELECT element_at(requestParameters, 'databaseName') AS DatabaseName, element_at(requestParameters, 'name') AS TableName, eventName, userIdentity.arn AS user FROM $EDS_ID WHERE eventSource ='glue.amazonaws.com' AND element_at(requestParameters, 'databaseName') IS NOT NULL AND element_at(requestParameters, 'name') IS NOT NULL AND element_at(additionalEventData, 'lakeFormationPrincipal') != '<ARN of Data Lake Admin>' AND eventTime > '2024-06-25 00:00:00'"
Query over nested objects,Find all active S3 objects for the past week.,"SELECT accountid, eventName, eventTime, replace(resourceArn, 'arn:aws:s3:::') as s3Resource, useragent FROM $EDS_ID t CROSS JOIN UNNEST(t.resources) unnested (accountid, resourceType, resourceArn, resourceArnPrefix) WHERE eventSource='s3.amazonaws.com' AND eventTime > '2024-06-25 00:00:00'"
Identify activities for a specific access key,Find the records of all API activities performed with the matching accessKeyId.,"SELECT eventTime, eventName, userIdentity.principalId FROM $EDS_ID WHERE userIdentity.accessKeyId LIKE '<accessKeyId>' AND eventTime > '2024-06-25 00:00:00' ORDER BY eventTime DESC"
Identify failed console sign-in attempts,Find all unsuccessful console sign-in attempts.,"SELECT sourceipaddress, useridentity.arn, errorMessage, additionaleventdata FROM $EDS_ID WHERE eventname = 'ConsoleLogin' AND errorMessage IS NOT NULL AND eventTime > '2024-06-25 00:00:00' ORDER BY eventTime DESC"
Identify missing IAM permissions,Find all API events that failed due to missing permissions.,"SELECT count (*) as TotalEvents, eventsource, eventname, useridentity.arn, errorCode, errorMessage FROM $EDS_ID WHERE (errorcode like '%Denied%' or errorcode like '%Unauthorized%') AND eventTime > '2024-06-25 00:00:00' GROUP BY eventsource, eventname, errorCode, errorMessage, useridentity.arn ORDER BY eventsource, eventname"
Identify CloudTrail monthly cost increases,Find the events that increased your CloudTrail bill.,"SELECT eventName, count(eventName) AS apiCallCount, eventSource FROM $EDS_ID WHERE eventTime > '2024-06-02 00:00:00' GROUP BY eventName, eventSource ORDER BY apiCallCount DESC"
List all PutObject requests,Find all PutObject requests sorted by bytesTransferredIn in descending order.,"SELECT element_at(requestParameters, 'bucketName') AS s3BucketName, cast(element_at(additionalEventData, 'bytesTransferredIn') AS int) AS bytesTransferredIn FROM $EDS_ID WHERE eventName='PutObject' AND eventTime > '2024-06-25 00:00:00' ORDER BY bytesTransferredIn DESC"
Union results across multiple event data stores,Find all events across multiple event data stores using UNION ALL.,"SELECT eventsource, eventname, eventtime FROM $EDS_ID WHERE eventTime > date_add('day', -QUERY_TIME_RANGE_IN_DAYS.WEEKLY, now()) UNION ALL SELECT eventData.eventsource, eventData.eventname, eventData.eventtime FROM $INTEGRATION_EDS_ID WHERE eventData.eventtime > date_add('day', -QUERY_TIME_RANGE_IN_DAYS.WEEKLY, now())"
List all abandoned S3 buckets,Find all the buckets that haven't been accessed for more than a year.,"SELECT element_at(requestParameters, 'bucketName') AS bucketName, max(eventtime) AS lastActivityTime FROM $EDS_ID WHERE eventSource='s3.amazonaws.com' AND element_at(requestParameters, 'bucketName') IS NOT NULL GROUP BY 1 HAVING max(eventTime) < date_add('day', -365, now())"
List EC2 events,Find all EC2 events for the past 3 days.,"SELECT eventName, eventTime, element_at(requestParameters, 'name') AS TableName, userIdentity.principalId FROM $EDS_ID WHERE eventSource='ec2.amazonaws.com' AND eventTime > date_add('day', -3, now())"
List Athena StartQuery requestParameters,Find the catalog name for all Athena StartQuery requests,"SELECT eventTime, json_extract(element_at(requestParameters, 'queryExecutionContext'), '$.catalog') as catalog FROM $EDS_ID WHERE eventSource='athena.amazonaws.com' AND eventName='StartQueryExecution' AND eventTime > '2024-06-25 00:00:00'"
Matching prefix,Find all S3 requests that accessed the AWSLogs prefix of S3Buckets.,"SELECT element_at(requestParameters, 'bucketName') as s3BucketName, eventName, useridentity.arn FROM $EDS_ID WHERE regexp_like(element_at(requestParameters, 'key'), 'AWSLogs') AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'bucketName'), eventName, useridentity.arn"
Get usage by part of the globe,Find the usage of all events by part of the globe.,"SELECT substr(awsRegion, 1, 2) AS globalCode, count(*) AS totalNumberOfEvents FROM $EDS_ID WHERE eventTime > '2024-06-25 00:00:00' GROUP BY 1 ORDER BY totalNumberOfEvents DESC"
List IAM roles assumed to access services,List all the IAM roles assumed to access services.,"SELECT eventSource, array_agg(distinct userIdentity.arn) as AssumedRoles FROM $EDS_ID WHERE userIdentity.arn IS NOT NULL AND eventTime > '2024-06-25 00:00:00' GROUP BY eventSource"
Get actions in IAM policies,Find all actions in IAM policies.,"SELECT flatten(cast(transform(cast(json_extract(element_at(requestParameters, 'policyDocument'), '$.Statement[*].Action') as array(json)), x -> if(not try(is_json_scalar(x)), x, cast(array[cast(x as varchar)] as json))) as array(array(varchar)))) as actions FROM $EDS_ID WHERE element_at(requestParameters, 'policyDocument') is not null AND (eventSource like 'sts%' OR eventSource like 'iam%') AND eventTime > '2024-06-25 00:00:00'"
Get the users who made the most failed API calls,Find the users who made the most failed API calls within the past week.,"SELECT userIdentity.arn as user, COUNT(*) AS error_count FROM $EDS_ID WHERE errorCode IS NOT NULL AND userIdentity.arn IS NOT NULL AND eventTime > '2024-06-25 00:00:00' GROUP BY userIdentity.arn ORDER BY error_count DESC LIMIT 10"
Get IAM actions used in the most created IAM policies,Find the IAM actions used in the most created IAM policies.,"SELECT action, count(*) as iamActionUsageCount FROM $EDS_ID CROSS JOIN UNNEST(flatten(cast(transform(cast(json_extract(element_at(requestParameters, 'policyDocument'), '$.Statement[*].Action') as array(json)), x -> if(not try(is_json_scalar(x)), x, cast(array[cast(x as varchar)] as json))) as array(array(varchar))))) as t (action) WHERE element_at(requestParameters, 'policyDocument') is not null AND (eventSource like 'iam%') AND eventName = 'CreatePolicy' AND eventTime > '2024-06-25 00:00:00' GROUP BY action ORDER BY iamActionUsageCount DESC"
Get AWS services used in the most created IAM policies,Find the AWS services used in the most created IAM policies.,"SELECT element_at(split(action, ':'), 1) as awsService, count(*) as numberOfServiceActions FROM $EDS_ID CROSS JOIN UNNEST(flatten(cast(transform(cast(json_extract(element_at(requestParameters, 'policyDocument'), '$.Statement[*].Action') as array(json)), x -> if(not try(is_json_scalar(x)), x, cast(array[cast(x as varchar)] as json))) as array(array(varchar))))) as t (action) WHERE element_at(requestParameters, 'policyDocument') is not null AND (eventSource like 'iam%') AND eventName = 'CreatePolicy' AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(split(action, ':'), 1) ORDER BY count(*) DESC"
Get least recently used IAM roles,Find the least recently used IAM roles.,"SELECT coalesce(element_at(requestParameters, 'roleName'), element_at(requestParameters, 'roleArn')) as roleName, max(eventTime) as lastUsage FROM $EDS_ID WHERE eventSource in ('sts.amazonaws.com', 'iam.amazonaws.com') AND eventTime > '2024-06-25 00:00:00' GROUP BY coalesce(element_at(requestParameters, 'roleName'), element_at(requestParameters, 'roleArn')) ORDER BY lastUsage ASC"
Get least recently assumed IAM roles,Find the least recently assumed IAM roles.,"SELECT element_at(requestParameters, 'roleArn') as roleArn, max(eventTime) as lastUsage FROM $EDS_ID WHERE eventSource = 'sts.amazonaws.com' AND eventName = 'AssumeRole' AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'roleArn') ORDER BY lastUsage ASC"
Get the most frequently assumed IAM roles,Find the most frequently assumed IAM roles.,"SELECT element_at(requestParameters, 'roleArn') as roleArn, count(*) as timesAssumed FROM $EDS_ID WHERE eventSource = 'sts.amazonaws.com' AND eventName = 'AssumeRole' AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'roleArn') ORDER BY timesAssumed DESC"
Investigate AssumeRole call failures,Find principal IDs whose AssumeRole calls failed.,"SELECT userIdentity.arn as callerRole, element_at(split(errorMessage, 'not authorized to perform: sts:AssumeRole on resource: '), 2) as failedToAssume FROM $EDS_ID WHERE eventSource = 'sts.amazonaws.com' AND eventName = 'AssumeRole' AND errorCode = 'AccessDenied' AND eventTime > '2024-06-25 00:00:00'"
List users who have turned off multi-factor authentication,Find the users who have turned off multi-factor authentication.,"SELECT userIdentity.arn, userIdentity.userName, userIdentity.accountId, useridentity.principalId FROM $EDS_ID WHERE eventSource = 'iam.amazonaws.com' AND eventName in ('DeactivateMFADevice', 'DeleteVirtualMFADevice') AND eventTime > '2024-06-25 00:00:00' GROUP BY userIdentity.arn, userIdentity.userName, userIdentity.accountId, useridentity.principalId"
List users who haven't changed their passwords recently,Find the users who haven't changed their passwords recently.,"SELECT userIdentity.arn, userIdentity.userName, userIdentity.accountId, max(eventTime) as lastPasswordChange FROM $EDS_ID WHERE eventName = 'ChangePassword' AND errorCode is NULL AND eventTime > '2024-06-25 00:00:00' GROUP BY userIdentity.arn, userIdentity.userName, userIdentity.accountId ORDER BY lastPasswordChange ASC"
Detect IAM user or role deletions,Find all IAM user and role deletions in the past week.,"SELECT eventtime AS deletion_time, useridentity.username AS deleted_identity, useridentity.type AS identity_type FROM $EDS_ID WHERE (eventname = 'DeleteUser' AND useridentity.type = 'IAMUser') OR (eventname = 'DeleteRole' AND useridentity.type = 'Role') AND eventTime > '2024-06-25 00:00:00'"
Track assume role calls within the same account,Find assume role calls within the same account.,"SELECT * FROM $EDS_ID WHERE eventName = 'AssumeRole' AND element_at(split(element_at(requestParameters, 'roleArn'), ':'), 5) = element_at(split(useridentity.arn, ':'), 5) AND eventTime > '2024-06-25 00:00:00'"
Track accounts making assume role calls,Find accounts making assume role calls.,"SELECT useridentity.accountId, count(*) as numberOfAssumeRoleCalls FROM $EDS_ID WHERE eventName = 'AssumeRole' AND eventTime > '2024-06-25 00:00:00' GROUP BY useridentity.accountId ORDER BY numberOfAssumeRoleCalls DESC"
List all IAM access key creation events,"Identify when IAM access keys were created, who created them on a particular day.",SELECT * FROM $EDS_ID WHERE eventName = 'CreateAccessKey' AND eventTime > '2024-06-25 00:00:00'
Get users that created access keys,Find users who created access keys.,"SELECT userIdentity.arn, userIdentity.userName, userIdentity.accountId, count(*) as accessKeyCreationCalls FROM $EDS_ID WHERE eventName = 'CreateAccessKey' AND eventTime > '2024-06-25 00:00:00' GROUP BY userIdentity.arn, userIdentity.userName, userIdentity.accountId ORDER BY accessKeyCreationCalls DESC"
Track IAM changes that modify access to actions that can be used for privilege escalation,Find IAM changes that modify access to actions that can be used for privilege escalation.,"SELECT events.* FROM $EDS_ID as events CROSS JOIN UNNEST(flatten(cast(transform(cast(json_extract(element_at(requestParameters, 'policyDocument'), '$.Statement[*].Action') as array(json)), x -> if(not try(is_json_scalar(x)), x, cast(array[cast(x as varchar)] as json))) as array(array(varchar))))) as t (action) WHERE element_at(requestParameters, 'policyDocument') is not null AND (eventSource like 'sts%' OR eventSource like 'iam%') AND action IN ('iam:AddRoleToInstanceProfile', 'iam:AddUserToGroup', 'iam:AttachGroupPolicy', 'iam:AttachRolePolicy', 'iam:AttachUserPolicy', 'iam:CreateAccessKey', 'iam:CreatePolicyVersion', 'iam:CreateRole', 'iam:DeleteRolePolicy', 'iam:DeleteUserPolicy', 'iam:DetachGroupPolicy', 'iam:DetachRolePolicy', 'iam:DetachUserPolicy', 'iam:PutGroupPolicy', 'iam:PutRolePolicy', 'iam:PutUserPolicy', 'iam:RemoveUserFromGroup', 'iam:SetDefaultPolicyVersion', 'iam:UpdateUser', 'sts:AssumeRole') AND eventTime > '2024-06-25 00:00:00' ORDER BY eventTime DESC"
Get API actions matching an IAM action-level statement,Find API actions matching an IAM action-level statement.,"SELECT eventId, useridentity FROM $EDS_ID CROSS JOIN (VALUES '{""Sid"": ""Statement1"",""Effect"": ""Allow"",""Action"": [""service1:ApiName"",""service2:*""],""Resource"": ""*""}') as iam (stmt) WHERE (contains(cast(json_extract(stmt, '$.Action') as array(varchar)), concat(element_at(split(eventsource, '.'), 1), ':', eventName)) OR contains(cast(json_extract(stmt, '$.Action') as array(varchar)), concat(element_at(split(eventsource, '.'), 1), ':*'))) AND cast(json_extract(stmt, '$.Effect') as varchar) = 'Allow' AND eventTime > '2024-06-25 00:00:00'"
Find AWS console logins without MFA,Find AWS console sign-in events without multi-factor authentication.,SELECT * FROM $EDS_ID WHERE eventName = 'ConsoleLogin' AND cast(useridentity.sessioncontext.attributes.mfaauthenticated as boolean) = false AND eventTime > '2024-06-25 00:00:00'
Find users most frequently signing in without MFA.,Find users who are most frequently signing in without multi-factor authentication.,"SELECT useridentity.principalid, useridentity.username, count(*) as numberOfUserLogins FROM $EDS_ID WHERE eventName = 'ConsoleLogin' AND cast(useridentity.sessioncontext.attributes.mfaauthenticated as boolean) = false AND eventTime > '2024-06-25 00:00:00' GROUP BY useridentity.principalid, useridentity.username ORDER BY numberOfUserLogins DESC"
Get list of policies created,Find the list of IAM policies created.,"SELECT json_extract(element_at(responseElements, 'policy'), '$.policyName') as policyName, json_extract(element_at(responseElements, 'policy'), '$.arn') as policyArn FROM $EDS_ID WHERE element_at(requestParameters, 'policyDocument') is not null AND eventName = 'CreatePolicy' AND eventTime > '2024-06-25 00:00:00'"
Get the list of roles with an IAM policy attached,Find the list of roles with an IAM policy attached.,"SELECT element_at(requestParameters,'roleName') as roleName FROM $EDS_ID WHERE eventName = 'AttachRolePolicy' AND element_at(requestParameters, 'policyArn') like 'arn:aws:iam::aws:policy/%' AND eventTime > '2024-06-25 00:00:00'"
Count EC2 instances running per month,Find the number of EC2 instances that are running per month.,"SELECT sum(json_array_length(json_extract(json_parse(element_at(responseElements, 'instancesSet')), '$.items'))) as numberOfRunInstances, date_trunc('month', eventTime) as month FROM $EDS_ID WHERE eventSource = 'ec2.amazonaws.com'AND eventName = 'RunInstances' AND eventTime > '2024-01-04 00:00:00' GROUP BY date_trunc('month', eventTime) ORDER BY month DESC"
Count non-terminated EC2 instances,Find EC2 instances that are not terminated.,"SELECT instances FROM $EDS_ID CROSS JOIN UNNEST(cast(json_extract(json_parse(element_at(responseElements, 'instancesSet')), '$.items[*].instanceId') as array(varchar))) as t (instances) WHERE eventSource = 'ec2.amazonaws.com' AND eventName = 'RunInstances' AND eventTime > '2024-06-25 00:00:00' EXCEPT SELECT instances FROM $EDS_ID CROSS JOIN UNNEST(cast(json_extract(json_parse(element_at(responseElements, 'instancesSet')), '$.items[*].instanceId') as array(varchar))) as t (instances) WHERE eventSource = 'ec2.amazonaws.com' AND eventName = 'TerminateInstances' AND eventTime > '2024-06-25 00:00:00'"
Count EC2 instances created by instance type by month,Find the number of EC2 instances created for each instance type on a monthly basis.,"SELECT instanceType, date_trunc('month', eventTime) as month, count(*) as countByInstanceType FROM $EDS_ID CROSS JOIN UNNEST(cast(json_extract(json_parse(element_at(responseElements, 'instancesSet')), '$.items[*].instanceType') as array(varchar))) as t (instanceType) WHERE eventSource = 'ec2.amazonaws.com' AND eventName = 'RunInstances' AND eventTime > '2024-01-04 00:00:00' GROUP BY instanceType, date_trunc('month', eventTime) ORDER BY month desc, countByInstanceType DESC"
Count EC2 instances created by instance type,Find the number of EC2 instances created for each instance type.,"SELECT instanceType, count(*) as countByInstanceType FROM $EDS_ID CROSS JOIN UNNEST(cast(json_extract(json_parse(element_at(responseElements, 'instancesSet')), '$.items[*].instanceType') as array(varchar))) as t (instanceType) WHERE eventSource = 'ec2.amazonaws.com' AND eventName = 'RunInstances' AND eventTime > '2024-06-25 00:00:00' GROUP BY instanceType ORDER BY countByInstanceType DESC"
List EC2 security group change events,Find EC2 security group change events.,"SELECT * FROM $EDS_ID WHERE eventSource = 'ec2.amazonaws.com' AND eventName IN ('AuthorizeSecurityGroupIngress', 'RevokeSecurityGroupIngress', 'AuthorizeSecurityGroupEgress', 'RevokeSecurityGroupEgress') AND eventTime > '2024-06-25 00:00:00'"
Count running EC2 instances per availability zone,Find the number of running EC2 instances per availability zone.,"SELECT availabilityZone, count(*) as countOfInstances FROM $EDS_ID CROSS JOIN unnest(cast(json_extract(element_at(responseelements, 'instancesSet'), '$.items[*].placement.availabilityZone') as array(varchar))) t (availabilityZone) WHERE eventSource = 'ec2.amazonaws.com' AND eventName = 'RunInstances' AND eventTime > '2024-06-25 00:00:00' GROUP BY availabilityZone ORDER BY countOfInstances DESC"
Track AMI usage to start EC2 instances,Find the number of EC2 instances started using each AMI and also find the first and last time the AMI was used.,"SELECT amiId, count(*) as CountOfInstances, max(eventTime) as finalTime, min(eventTime) as initialTime FROM $EDS_ID CROSS JOIN unnest(cast(json_extract(element_at(requestParameters, 'instancesSet'), '$.items[*].imageId') as array(varchar))) as t (amiId) WHERE eventSource = 'ec2.amazonaws.com' AND eventName = 'RunInstances' AND eventTime > '2024-06-25 00:00:00' GROUP BY amiId ORDER BY finalTime DESC"
Detect EBS default encryption disablement events,Find EBS default encryption disablement events.,SELECT * FROM $EDS_ID WHERE eventSource = 'ec2.amazonaws.com' AND eventName = 'DisableEbsEncryptionByDefault' AND eventTime > '2024-06-25 00:00:00'
Detect when an EBS snapshot is made public,Monitor API calls to detect when an EBS snapshot is made public.,"SELECT * FROM $EDS_ID WHERE eventSource = 'ec2.amazonaws.com' AND eventName = 'ModifySnapshotAttribute' AND element_at(requestparameters, 'attributeType') = 'CREATE_VOLUME_PERMISSION' AND element_at(requestparameters, 'createVolumePermission') is not NULL AND json_array_length(json_extract(element_at(requestparameters, 'createVolumePermission'), '$.add.items[?(@.group === ""all"")]')) > 0 AND eventTime > '2024-06-25 00:00:00'"
Detect the possible exfiltration of an EBS snapshot,Check if a possible attacker has created an EBS snapshot from the EBS volume and modified the permissions of the snapshot to allow it to be shared publicly or with another AWS account within a span of 15 minutes.,"SELECT createSnapshotDataStore.* FROM $EDS_ID as createSnapshotDataStore JOIN $EDS_ID as modifySnapshotDataStore ON element_at(createSnapshotDataStore.responseelements, 'snapshotId') = element_at(modifySnapshotDataStore.requestparameters, 'snapshotId') WHERE createSnapshotDataStore.eventSource = 'ec2.amazonaws.com' AND modifySnapshotDataStore.eventSource = 'ec2.amazonaws.com' AND createSnapshotDataStore.eventName = 'CreateSnapshot' AND modifySnapshotDataStore.eventName = 'ModifySnapshotAttribute' AND element_at(modifySnapshotDataStore.requestparameters, 'attributeType') = 'CREATE_VOLUME_PERMISSION' AND createSnapshotDataStore.eventTime > '2024-06-25 00:00:00' AND modifySnapshotDataStore.eventTime > '2024-06-25 00:00:00'"
Get age of S3 buckets,Find the age of each S3 bucket.,"SELECT element_at(requestParameters, 'bucketName') AS bucket_name, DATE_DIFF('millisecond', eventTime, now()) AS bucket_age_ms FROM $EDS_ID WHERE eventName = 'CreateBucket' AND eventTime > '2024-06-25 00:00:00' ORDER BY bucket_age_ms DESC"
Get the users making the most S3 API calls,Find the users making the most S3 API calls within the past week.,"SELECT userIdentity.arn, COUNT(*) AS s3_call_count FROM $EDS_ID WHERE eventSource = 's3.amazonaws.com' AND eventTime > '2024-06-25 00:00:00' GROUP BY userIdentity.arn ORDER BY s3_call_count DESC"
Identify most frequent access denied callers per S3 bucket,Find users whose S3 API calls fail frequently due to missing IAM permissions.,"SELECT element_at(requestParameters, 'bucketName') as bucketName, userIdentity.userName, userIdentity.arn, userIdentity.principalId, userIdentity.accountId, count(*) as failedCallCount FROM $EDS_ID WHERE errorCode = 'AccessDenied' AND eventSource = 's3.amazonaws.com' AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'bucketName'), userIdentity.userName, userIdentity.arn, userIdentity.principalId, userIdentity.accountId ORDER BY failedCallCount DESC"
Get most throttled S3 buckets,Find the most throttled S3 buckets.,"SELECT element_at(requestParameters, 'bucketName') as bucketName, count(*) as failedCallCount FROM $EDS_ID WHERE errorCode IN ('InternalError', 'SlowDown', '503 SlowDown') AND eventSource = 's3.amazonaws.com' AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'bucketName') ORDER BY failedCallCount DESC"
Get most throttled S3 buckets by month,Find the most throttled S3 buckets for each month.,"SELECT element_at(requestParameters, 'bucketName') as bucketName, date_trunc('month', eventTime) as month, count(*) as failedCallCount FROM $EDS_ID WHERE errorCode IN ('InternalError', 'SlowDown', '503 SlowDown') AND eventSource = 's3.amazonaws.com' AND eventTime > '2024-01-04 00:00:00' GROUP BY element_at(requestParameters, 'bucketName'), date_trunc('month', eventTime) ORDER BY failedCallCount DESC"
Get S3 buckets with most write requests,Find S3 buckets with most write requests.,"SELECT element_at(requestParameters, 'bucketName') as bucketName, count(*) as writeRequestCount FROM $EDS_ID WHERE eventSource='s3.amazonaws.com' AND regexp_like(eventName, '(?i)(Put|agResource|Update|Delete|Create|Upload|Copy)') AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'bucketName') ORDER BY writeRequestCount DESC"
Get S3 buckets with most write requests by month,Find S3 buckets with most write requests by month.,"SELECT element_at(requestParameters, 'bucketName') as bucketName, date_trunc('month', eventTime) as month, count(*) as writeRequestCount FROM $EDS_ID WHERE eventSource = 's3.amazonaws.com' AND regexp_like(eventName, '(?i)(Put|agResource|Update|Delete|Create|Upload|Copy)') AND eventTime > '2024-01-04 00:00:00' GROUP BY element_at(requestParameters, 'bucketName'), date_trunc('month', eventTime) ORDER BY month DESC, writeRequestCount DESC"
